fetchedAt,csvStamp,csvVal,rhrStamp,rhrVal,webStamp,webVal,metarStamp,metarVal,marketPrices
2026-09-07T05:58:31.965Z,202609071350,28.3,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":13;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:59:03.692Z,202609071350,28.3,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":13;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T05:59:35.020Z,202609071350,28.3,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":13;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T06:00:06.895Z,202609071350,28.3,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":13;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T06:00:37.664Z,202609071350,28.3,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":13;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T06:01:09.555Z,202609071350,28.3,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":13;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T06:01:42.053Z,202609071350,28.3,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":13;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T06:02:13.805Z,202609071350,28.3,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":89;"31°C":13;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T06:02:45.999Z,202609071350,28.3,2026-09-07T13:00:00+08:00,29,1302,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T06:03:17.227Z,202609071350,28.3,2026-09-07T13:00:00+08:00,29,1402,29,2026-09-07T05:30:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
2026-09-07T06:03:48.573Z,202609071350,28.3,2026-09-07T14:00:00+08:00,29,1402,29,2026-09-07T06:00:00.000Z,32,{"25°C or below":0;"26°C":0;"27°C":0;"28°C":0;"29°C":0;"30°C":87;"31°C":12;"32°C":1;"33°C":0;"34°C":0;"35°C or higher":0}
